id,Name,Description,Building type,Property type,Amenities,host_id,Host_name,Host_identity_verified,Host_Experience,Host_fee,Neighbourhood,State,Zipcode,Currency,Season,Instant_bookable,Construction_year,Accommodation_year,Commission,Booking_total,Status,Bookings,Service_fee,Cancellation_Policy,Food_cost,Food_type,Minimum_nights,Reviews,Reviews_per_month,Review_rate_number,House_rules,Host_Revenue,Platform_Revenue,Total_Revenue
9432387,The Easy in Brooklyn,"2 Bedrooms For Groups, GREAT LOCATION",Shared room,Bed & Breakfast,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Smart locks for self check-in', 'Heaters', 'Air conditioning']",2123111,Henry,confirmed,Moderately Experienced,0.11,Capucins in France,France,4328,usd,Holiday Season,No,2018-12-27,2019-12-27,0.12,67.89,confirmed,488,0.74,Strict,47.24,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Yogurt']",483,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,3.63,7,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,29.2569,6.8607,121.37599999999999
9925155,Black Lake Cabin,Beautiful 1br on Upper West Side,Apartment,Bed & Breakfast,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'LED TV', 'Free parking', 'Air conditioning']",1265392,Tucker,confirmed,Inexperienced,0.12,Oak Lawn in  Texas,Sweden,6655,usd,Holiday Season,No,2018-07-03,2019-07-03,0.14,80.38,not confirmed,40,0.0,Strict,44.81,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'OJ']",227,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",1.37,7,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,32.6836,2.5893000000000006,64.8107
8565409,The Darling North Sanctuary!,Spacious Brooklyn Loft - 2 Bedroom,Entire house,Loft,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Free parking', 'Pool', 'Washer and Dryer']",4331461,John,not confirmed,Inexperienced,0.0,The Bukit Peninsula in  Indonesia,Oregon,6746,usd,Holiday Season,Yes,2013-04-08,2014-04-08,0.13,67.75,not confirmed,584,0.0,Moderate,26.33,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Bread and Jam']",452,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",6.06,3, I have a cute and quiet mixed chihuahua.,21.775,4.9086,48.2711
8547145,The Ruby Garden,Great Bedroom in Downtown Manhattan,Shared room,Cabin,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Washer and Dryer', 'Iron and iron board', 'Pool']",5177926,John,confirmed,Experienced,0.14,Hammerbrook in Germany,Germany,7113,usd,Non Holiday Season,Yes,2008-09-27,2009-09-27,0.11,78.7,confirmed,51,0.3,Strict,39.56,"['Cereals', 'Fruits', 'Vegetables', 'OJ', 'Bread and Jam']",424,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,4.55,2," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",33.888000000000005,2.457,82.988
7074901,The Starfish,CreaTive Live-In Artspace/Birdsnest,Shared room,Apartment,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Pool', 'Smart locks for self check-in', 'Heaters']",5086979,Wilson,not confirmed,Experienced,0.0,Oak Lawn in  Texas,Queensland,5041,usd,Non Holiday Season,Yes,2012-02-15,2013-02-15,0.12,65.28,confirmed,703,0.34,Strict,18.01,"['Cereals', 'Fruits', 'Vegetables', 'Bread and Jam', 'Muffins']",361,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,3.71,3,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,21.528,3.0051,60.1687
4186722,Maui Beach Retreat,Beautiful Sunny Park Slope Brooklyn,Private room,Bed & Breakfast,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Washer and Dryer', 'Smart locks for self check-in', 'Heaters']",7617867,Kevin,confirmed,Inexperienced,0.12,Capucins in France,France,3210,usd,Holiday Season,Yes,2018-05-03,2019-05-03,0.15,72.12,not confirmed,712,0.0,Moderate,57.0,"['Cereals', 'Fruits', 'Vegetables', 'Yogurt', 'Eggs']",183,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",5.33,3,Clean up and treat the home the way you'd like your home to be treated,30.866400000000002,4.3173,78.4809
2543432,Charming Retreat on the Eastside,South Slope Green,Entire house,Condominium,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Iron and iron board', 'Heaters', 'Air conditioning']",8348743,Lloyd,confirmed,Experienced,0.11,Constitución in Argentina,Argentina,8663,usd,Non Holiday Season,Yes,2016-06-20,2017-06-20,0.12,88.4,not confirmed,707,0.0,Strict,59.35,"['Cereals', 'Fruits', 'Vegetables', 'Bread and Jam', 'Muffins']",321,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",2.28,10," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",33.564,6.155999999999999,83.15800000000002
6478489,The Little Peaceful Retreat,SUNNY 1 Bedroom APT in Fort Greene - BROOKLYN,Shared room,Townhouse,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Coffee machine', 'Smart locks for self check-in', 'LED TV']",9721729,Michelle,not confirmed,Moderately Experienced,0.0,Roma Sur in MexicoCity,MexicoCity,4396,usd,Non Holiday Season,Yes,2016-03-26,2017-03-26,0.14,84.29,confirmed,237,0.44,Strict,55.6,"['Cereals', 'Fruits', 'Vegetables', 'Bread and Jam', 'Juices']",111,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,3.95,6,No smoking,23.429000000000002,6.399,116.6153
3955961,The Jackfruit Tree,Family & Friends in New York City,Private room,Loft,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Smart locks for self check-in', 'Free parking', 'Washer and Dryer']",8665921,Lloyd,not confirmed,Experienced,0.0,The Bukit Peninsula in  Indonesia,Dallas,1970,usd,Non Holiday Season,Yes,2016-10-24,2017-10-24,0.13,76.13,confirmed,571,0.66,Moderate,13.08,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Bread and Jam']",271,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,3.65,2, I have a cute and quiet mixed chihuahua.,22.613,1.971,82.58070000000001
7327245,Palm Springs Bungalow Hideaway," Safe, Clean and Cozy!",Entire house,House,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'LED TV', 'Air conditioning', 'Coffee machine']",3407330,Davis,confirmed,Inexperienced,0.15,Richmond in Melbourne,Melbourne,4631,usd,Holiday Season,No,2011-03-03,2012-03-03,0.11,70.69,not confirmed,310,0.0,Flexible,40.9,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Bread and Jam']",469,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,4.49,3,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,32.6725,3.6369,61.657599999999995
9973726,The Little Peaceful Retreat,"Luxury Furnished 1 bedro, Bay Ridge",Entire house,Condominium,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Air conditioning', 'Heaters', 'LED TV']",2326735,Sarah,not confirmed,Moderately Experienced,0.0,Oak Lawn in  Texas,Brisbane,6739,usd,Holiday Season,No,2008-10-04,2009-10-04,0.11,82.56,confirmed,310,0.29,Strict,55.37,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Yogurt']",381,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,8.28,10,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",23.256,22.355999999999998,119.14519999999999
8367891,The Brooklyn Penthouse,UES Quiet & Spacious 1 bdrm for 4,Apartment,Townhouse,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Pool', 'Free parking', 'LED TV']",6962622,Adele,confirmed,Experienced,0.13,Meireles in Brazil,Brazil,2074,usd,Non Holiday Season,Yes,2021-08-09,2022-08-09,0.14,75.27,not confirmed,749,0.0,Moderate,29.35,"['Cereals', 'Fruits', 'Vegetables', 'Bread and Jam', 'Eggs']",147,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",3.67,2," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",32.3121,1.9818,48.5899
3520744,The Ruby Garden,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Shared room,Bed & Breakfast,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Air conditioning', 'Heaters', 'Coffee machine']",8114364,Jsun,confirmed,Moderately Experienced,0.16,Oak Lawn in  Texas,Hawaii,6984,usd,Holiday Season,Yes,2012-03-09,2013-03-09,0.11,71.4,confirmed,891,0.29,Moderate,16.02,"['Cereals', 'Fruits', 'Vegetables', 'Bread and Jam', 'Eggs']",86,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,2.46,8,"My ideal guests would be warm, friendly, and respectful of sharing my home and its rhythms.",33.564,5.3136,59.181599999999996
5342379,The Home Sweet Home,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",Shared room,House,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Heaters', 'Washer and Dryer', 'Pool']",8406853,Stewart,confirmed,Moderately Experienced,0.12,District VII in  Hungary,Delhi,1303,usd,Holiday Season,No,2013-04-10,2014-04-10,0.13,83.95,not confirmed,755,0.0,Flexible,49.37,"['Cereals', 'Fruits', 'Vegetables', 'Eggs', 'Bread and Jam']",189,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",1.92,9," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",33.469,4.6655999999999995,71.55409999999999
6496746,The Ultimate Escape,"LES private apt, 1 bedroom & more",Private room,Bed & Breakfast,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Coffee machine', 'LED TV', 'Heaters']",1888881,Norman,not confirmed,Experienced,0.0,Capucins in France,France,4694,usd,Holiday Season,No,2009-05-23,2010-05-23,0.15,75.38,not confirmed,517,0.0,Flexible,44.32,"['Cereals', 'Fruits', 'Vegetables', 'Juices', 'Yogurt']",381,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,3.16,1," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",22.538,0.8532,62.4346
7466400,The Easy in Brooklyn,Spacious Quiet rm - 20mins to Midtown,Shared room,Condominium,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Free parking', 'LED TV', 'Smart locks for self check-in']",8775851,Yukako,confirmed,Moderately Experienced,0.11,Oak Lawn in  Texas,Oregon,5102,usd,Non Holiday Season,No,2016-03-01,2017-03-01,0.13,68.78,not confirmed,381,0.0,Strict,36.24,"['Cereals', 'Fruits', 'Vegetables', 'Milk', 'Muffins']",496,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,7.67,8,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,29.4438,16.5672,69.8706
1980383,The Brooklyn Penthouse,"Sunny, Spacious Studio in Ft.Greene",Private room,Apartment,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Coffee machine', 'Washer and Dryer', 'Iron and iron board']",1794630,Stephanie,confirmed,Moderately Experienced,0.13,Capucins in France,France,2267,usd,Holiday Season,No,2008-09-12,2009-09-12,0.11,87.01,not confirmed,547,0.0,Strict,16.61,"['Cereals', 'Fruits', 'Vegetables', 'Juices', 'Yogurt']",490,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,5.64,4,Clean up and treat the home the way you'd like your home to be treated,35.0123,6.0912,40.311499999999995
1808938,The Tired Traveler Inn,Beautiful Brownstone,Shared room,Bed & Breakfast,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Washer and Dryer', 'Air conditioning', 'Pool']",5910052,Camilla,not confirmed,Inexperienced,0.0,Richmond in Melbourne,Melbourne,6523,usd,Holiday Season,No,2012-07-09,2013-07-09,0.13,73.28,not confirmed,922,0.0,Strict,34.03,"['Cereals', 'Fruits', 'Vegetables', 'Yogurt', 'Milk']",10,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,8.49,7,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,22.328,16.0461,67.2745
3567586,Curly Coelho Cottage,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,Apartment,Townhouse,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Coffee machine', 'Iron and iron board', 'LED TV']",2488652,Zach,confirmed,Experienced,0.15,Triana in Spain,Spain,7195,usd,Non Holiday Season,Yes,2015-09-05,2016-09-05,0.12,88.87,not confirmed,915,0.0,Strict,58.96,"['Cereals', 'Fruits', 'Vegetables', 'Muffins', 'OJ']",56,They were easy to communicate with and left the space in excellent condition. We would be happy to host them again.,7.82,5,I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand.,37.2175,10.557,87.18310000000001
7505942,Chinatown Artist Loft,Beautiful 1br on Upper West Side,Entire house,Loft,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Free parking', 'Iron and iron board', 'Air conditioning']",6479284,Cameron,confirmed,Experienced,0.12,Triana in Spain,Spain,5641,usd,Non Holiday Season,Yes,2015-02-20,2016-02-20,0.12,68.41,not confirmed,809,0.0,Flexible,51.02,"['Cereals', 'Fruits', 'Vegetables', 'Yogurt', 'Muffins']",47,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,8.31,9,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK,30.0502,20.1933,88.2656
6850981,Rosie’s Retreat,Entire Apt: Spacious Studio/Loft by central park,Private room,Townhouse,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Free parking', 'Air conditioning', 'Smart locks for self check-in']",6684733,Sarah,confirmed,Moderately Experienced,0.15,Constitución in Argentina,Argentina,5636,usd,Holiday Season,No,2014-06-04,2015-06-04,0.15,85.91,confirmed,189,0.47,Flexible,12.77,"['Cereals', 'Fruits', 'Vegetables', 'OJ', 'Eggs']",326,"When we first stumbled upon this flat on AirBnB, it seemed almost too good to be true. There must be a catch! But everything was as perfect as it seemed online. (Host Name) is the most thoughtful, gracious host.",5.93,8,Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK,36.4775,12.8088,83.5338
4603816,The Tired Traveler Inn,Apt with EmpireState view-Subway around the corner,Apartment,Apartment,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'LED TV', 'Heaters', 'Air conditioning']",7905812,Wilson,confirmed,Experienced,0.13,Meireles in Brazil,Brazil,6835,usd,Non Holiday Season,Yes,2021-07-29,2022-07-29,0.13,64.39,confirmed,265,0.47,Moderate,59.53,"['Cereals', 'Fruits', 'Vegetables', 'OJ', 'Yogurt']",35,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,4.81,9," I am allergic to cigarettes, so no smoking please, not even in the yard. A quiet homecoming is much appreciated at the end of the evening's nightlife.",29.8097,11.6883,118.41329999999999
6562228,Tabglewoods,Sun Filled Classic West Village Apt,Shared room,Bed & Breakfast,"['Wifi', 'Hot water bath', 'Fully equipped kitchen', 'proper double bed', 'first aid kits', 'Coffee machine', 'Pool', 'Washer and Dryer']",2724434,Victoria,not confirmed,Moderately Experienced,0.0,Roma Sur in MexicoCity,MexicoCity,7220,usd,Non Holiday Season,Yes,2014-07-13,2015-07-13,0.11,68.55,confirmed,536,0.75,Moderate,18.38,"['Cereals', 'Fruits', 'Vegetables', 'Eggs', 'Juices']",359,It would be my pleasure to host them again anytime. They left the place so spotless; I could not even tell if they stayed in the home! Thanks so much! I sincerely hope to host you again,8.98,2,Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.,21.855,4.8492,91.69819999999999
